service_id,date,exception_type
5,20171218,1
5,20171219,1
5,20171220,1
5,20171221,1
5,20171222,1
5,20171225,1
5,20171226,1
5,20171227,1
5,20171228,1
5,20171229,1
5,20180101,1
6,20170707,1
6,20170714,1
6,20170721,1
6,20170728,1
6,20170804,1
6,20170811,1
6,20170818,1
6,20170825,1
6,20170908,1
6,20170915,1
6,20170922,1
6,20170929,1
6,20171006,1
6,20171013,1
6,20171020,1
6,20171027,1
6,20171103,1
6,20171110,1
6,20171117,1
6,20171124,1
6,20171201,1
6,20171208,1
6,20171215,1
6,20171222,1
6,20171229,1
7,20170706,1
7,20170707,1
7,20170711,1
7,20170712,1
7,20170713,1
7,20170714,1
7,20170718,1
7,20170719,1
7,20170720,1
7,20170721,1
7,20170725,1
7,20170726,1
7,20170727,1
7,20170728,1
7,20170801,1
7,20170802,1
7,20170803,1
7,20170804,1
7,20170808,1
7,20170809,1
7,20170810,1
7,20170811,1
7,20170815,1
7,20170816,1
7,20170817,1
7,20170818,1
7,20170822,1
7,20170823,1
7,20170824,1
7,20170825,1
7,20170829,1
7,20170830,1
7,20170831,1
7,20170901,1
7,20170905,1
7,20170906,1
7,20170907,1
7,20170908,1
7,20170912,1
7,20170913,1
7,20170914,1
7,20170915,1
7,20170919,1
7,20170920,1
7,20170921,1
7,20170922,1
7,20170926,1
7,20170927,1
7,20170928,1
7,20170929,1
7,20171003,1
7,20171004,1
7,20171005,1
7,20171006,1
7,20171010,1
7,20171011,1
7,20171012,1
7,20171013,1
7,20171017,1
7,20171018,1
7,20171019,1
7,20171020,1
7,20171024,1
7,20171025,1
7,20171026,1
7,20171027,1
7,20171031,1
7,20171101,1
7,20171102,1
7,20171103,1
7,20171107,1
7,20171108,1
7,20171109,1
7,20171110,1
7,20171114,1
7,20171115,1
7,20171116,1
7,20171117,1
7,20171121,1
7,20171122,1
7,20171123,1
7,20171124,1
7,20171128,1
7,20171129,1
7,20171130,1
7,20171201,1
7,20171205,1
7,20171206,1
7,20171207,1
7,20171208,1
7,20171212,1
7,20171213,1
7,20171214,1
7,20171215,1
7,20171219,1
7,20171220,1
7,20171221,1
7,20171222,1
7,20171226,1
7,20171227,1
7,20171228,1
7,20171229,1
8,20170706,1
8,20170710,1
8,20170711,1
8,20170712,1
8,20170713,1
8,20170717,1
8,20170718,1
8,20170719,1
8,20170720,1
8,20170724,1
8,20170725,1
8,20170726,1
8,20170727,1
8,20170731,1
8,20170801,1
8,20170802,1
8,20170803,1
8,20170807,1
8,20170808,1
8,20170809,1
8,20170810,1
8,20170814,1
8,20170815,1
8,20170816,1
8,20170817,1
8,20170821,1
8,20170822,1
8,20170823,1
8,20170824,1
8,20170828,1
8,20170829,1
8,20170830,1
8,20170831,1
8,20170904,1
8,20170905,1
8,20170906,1
8,20170907,1
8,20170911,1
8,20170912,1
8,20170913,1
8,20170914,1
8,20170918,1
8,20170919,1
8,20170920,1
8,20170921,1
8,20170925,1
8,20170926,1
8,20170927,1
8,20170928,1
8,20171002,1
8,20171003,1
8,20171004,1
8,20171005,1
8,20171009,1
8,20171010,1
8,20171011,1
8,20171012,1
8,20171016,1
8,20171017,1
8,20171018,1
8,20171019,1
8,20171023,1
8,20171024,1
8,20171025,1
8,20171026,1
8,20171030,1
8,20171031,1
8,20171101,1
8,20171102,1
8,20171106,1
8,20171107,1
8,20171108,1
8,20171109,1
8,20171113,1
8,20171114,1
8,20171115,1
8,20171116,1
8,20171120,1
8,20171121,1
8,20171122,1
8,20171123,1
8,20171127,1
8,20171128,1
8,20171129,1
8,20171130,1
8,20171204,1
8,20171205,1
8,20171206,1
8,20171207,1
8,20171211,1
8,20171212,1
8,20171213,1
8,20171214,1
8,20171218,1
8,20171219,1
8,20171220,1
8,20171221,1
8,20171225,1
8,20171226,1
8,20171227,1
8,20171228,1
8,20180101,1
9,20170712,1
9,20170719,1
9,20170726,1
9,20170802,1
9,20170809,1
9,20170816,1
9,20170823,1
9,20170830,1
9,20170906,1
9,20170913,1
9,20170920,1
9,20170927,1
9,20171004,1
9,20171011,1
9,20171018,1
9,20171025,1
9,20171101,1
9,20171108,1
9,20171115,1
9,20171122,1
9,20171129,1
9,20171206,1
9,20171213,1
9,20171220,1
9,20171227,1
10,20170710,1
10,20170717,1
10,20170724,1
10,20170731,1
10,20170807,1
10,20170814,1
10,20170821,1
10,20170828,1
10,20170904,1
10,20170911,1
10,20170918,1
10,20170925,1
10,20171002,1
10,20171009,1
10,20171016,1
10,20171023,1
10,20171030,1
10,20171106,1
10,20171113,1
10,20171120,1
10,20171127,1
10,20171204,1
10,20171211,1
10,20171218,1
10,20171225,1
10,20180101,1
11,20170707,1
11,20170714,1
11,20170721,1
11,20170728,1
11,20170804,1
11,20170811,1
11,20170818,1
11,20170825,1
11,20170901,1
11,20170908,1
11,20170915,1
11,20170922,1
11,20170929,1
11,20171006,1
11,20171013,1
11,20171020,1
11,20171027,1
11,20171103,1
11,20171110,1
11,20171117,1
11,20171124,1
11,20171201,1
11,20171208,1
11,20171215,1
11,20171222,1
11,20171229,1
12,20170922,1
12,20170929,1
12,20171006,1
12,20171013,1
12,20171020,1
12,20171027,1
13,20170904,1
13,20170910,1
14,20170916,1
14,20170923,1
14,20170930,1
14,20171007,1
14,20171014,1
14,20171021,1
14,20171028,1
14,20171202,1
14,20171209,1
14,20171216,1
14,20171223,1
14,20171230,1
15,20171203,1
15,20171210,1
15,20171217,1
15,20171224,1
15,20171231,1
16,20170706,1
16,20170707,1
16,20170708,1
16,20170709,1
16,20170710,1
16,20170711,1
16,20170712,1
16,20170713,1
16,20170714,1
16,20170715,1
16,20170716,1
16,20170717,1
16,20170718,1
16,20170719,1
16,20170720,1
16,20170721,1
16,20170722,1
16,20170723,1
16,20170724,1
16,20170725,1
16,20170726,1
16,20170727,1
16,20170728,1
16,20170729,1
16,20170730,1
16,20170731,1
16,20170801,1
16,20170802,1
16,20170803,1
16,20170804,1
16,20170805,1
16,20170806,1
16,20170807,1
16,20170808,1
16,20170809,1
16,20170810,1
16,20170811,1
16,20170812,1
16,20170813,1
16,20170814,1
16,20170815,1
16,20170816,1
16,20170817,1
16,20170818,1
16,20170819,1
16,20170820,1
16,20170821,1
16,20170822,1
16,20170823,1
16,20170824,1
16,20170825,1
16,20170826,1
16,20170827,1
16,20170828,1
16,20170829,1
16,20170830,1
16,20170831,1
16,20170901,1
16,20170902,1
16,20170903,1
16,20170909,1
16,20170917,1
16,20170924,1
16,20171001,1
16,20171008,1
16,20171009,1
16,20171015,1
16,20171022,1
16,20171029,1
16,20171201,1
16,20171204,1
16,20171205,1
16,20171206,1
16,20171207,1
16,20171208,1
16,20171211,1
16,20171212,1
16,20171213,1
16,20171214,1
16,20171215,1
16,20171218,1
16,20171219,1
16,20171220,1
16,20171221,1
16,20171222,1
16,20171225,1
16,20171226,1
16,20171227,1
16,20171228,1
16,20171229,1
16,20180101,1
17,20170706,1
17,20170707,1
17,20170710,1
17,20170711,1
17,20170713,1
17,20170714,1
17,20170717,1
17,20170718,1
17,20170720,1
17,20170721,1
17,20170724,1
17,20170725,1
17,20170727,1
17,20170728,1
17,20170731,1
17,20170801,1
17,20170803,1
17,20170804,1
17,20170807,1
17,20170808,1
17,20170810,1
17,20170811,1
17,20170814,1
17,20170815,1
17,20170817,1
17,20170818,1
17,20170821,1
17,20170822,1
17,20170824,1
17,20170825,1
17,20170828,1
17,20170829,1
17,20170831,1
17,20170904,1
17,20170905,1
17,20170907,1
17,20170908,1
17,20170911,1
17,20170912,1
17,20170914,1
17,20170915,1
17,20170918,1
17,20170919,1
17,20170921,1
17,20170922,1
17,20170925,1
17,20170926,1
17,20170928,1
17,20170929,1
17,20171002,1
17,20171003,1
17,20171005,1
17,20171006,1
17,20171009,1
17,20171010,1
17,20171012,1
17,20171013,1
17,20171016,1
17,20171017,1
17,20171019,1
17,20171020,1
17,20171023,1
17,20171024,1
17,20171026,1
17,20171027,1
17,20171030,1
17,20171031,1
17,20171102,1
17,20171103,1
17,20171106,1
17,20171107,1
17,20171109,1
17,20171110,1
17,20171113,1
17,20171114,1
17,20171116,1
17,20171117,1
17,20171120,1
17,20171121,1
17,20171123,1
17,20171124,1
17,20171127,1
17,20171128,1
17,20171130,1
17,20171201,1
17,20171204,1
17,20171205,1
17,20171207,1
17,20171208,1
17,20171211,1
17,20171212,1
17,20171214,1
17,20171215,1
17,20171218,1
17,20171219,1
17,20171221,1
17,20171222,1
17,20171225,1
17,20171226,1
17,20171228,1
17,20171229,1
17,20180101,1
